,country_name,casted,gender,education,employement,closeness_party,turnout,women_in_parliament
315,Australia,95,1,7,1,2,92.98,999.0
316,Australia,95,2,7,2,2,92.85,999.0
317,Australia,95,1,5,7,1,93.6,999.0
318,Australia,95,1,6,3,9,93.73,999.0
319,Australia,95,2,4,2,9,94.31,999.0
320,Australia,95,1,7,1,2,93.38,999.0
321,Australia,95,1,99,1,2,94.53,999.0
322,Australia,95,2,4,5,2,92.88,999.0
323,Australia,95,1,7,7,1,92.03,999.0
324,Australia,95,2,6,1,9,89.61,999.0
325,Australia,95,2,8,5,2,92.37,999.0
326,Australia,95,1,7,1,9,92.09,999.0
327,Australia,95,2,4,3,2,90.54,999.0
328,Australia,95,1,7,1,2,90.92,999.0
329,Australia,95,2,5,2,9,92.7,999.0
330,Australia,95,2,6,2,3,88.45,999.0
331,Australia,95,2,7,3,1,92.83,999.0
332,Australia,95,2,6,7,9,89.82,999.0
333,Australia,95,1,5,7,2,999.0,999.0
334,Australia,95,2,8,7,9,999.0,999.0
335,Australia,95,1,7,7,2,92.53,999.0
336,Australia,95,2,3,7,2,93.65,999.0
337,Australia,95,2,8,1,3,93.6,999.0
338,Australia,95,2,5,2,2,91.67,999.0
339,Australia,95,2,6,1,3,92.76,999.0
340,Australia,95,2,99,7,2,90.82,999.0
341,Australia,95,2,5,9,1,91.67,999.0
342,Australia,95,1,5,1,2,89.21,999.0
343,Australia,95,3,7,9,3,93.61,999.0
344,Australia,95,2,5,7,9,92.05,999.0
345,Australia,95,2,99,7,9,92.7,999.0
346,Australia,95,1,4,1,2,91.67,999.0
347,Australia,95,1,3,5,3,90.51,999.0
348,Australia,95,1,99,4,3,93.78,999.0
349,Australia,95,2,5,2,1,89.21,999.0
350,Australia,95,2,7,1,2,90.98,999.0
351,Australia,95,1,7,1,2,999.0,999.0
352,Australia,95,2,8,1,2,90.13,999.0
353,Australia,95,1,7,7,2,90.34,999.0
354,Australia,95,2,8,1,9,999.0,999.0
355,Australia,95,2,4,8,1,89.63,999.0
356,Australia,95,2,7,1,3,93.78,999.0
357,Australia,95,2,4,1,2,84.05,999.0
358,Australia,95,1,7,1,3,84.05,999.0
359,Australia,95,1,8,1,2,94.97,999.0
360,Australia,95,1,8,1,9,91.52,999.0
361,Australia,95,1,5,1,1,93.65,999.0
362,Australia,95,2,5,2,9,92.03,999.0
363,Australia,95,2,7,7,2,93.17,999.0
364,Australia,95,2,7,1,2,89.92,999.0
365,Australia,95,1,7,2,9,94.39,999.0
366,Australia,95,2,5,2,1,999.0,999.0
367,Australia,95,1,6,1,1,91.6,999.0
368,Australia,95,2,4,7,1,93.12,999.0
369,Australia,95,2,4,7,2,90.82,999.0
370,Australia,95,1,8,7,2,93.61,999.0
371,Australia,95,1,5,1,2,93.61,999.0
372,Australia,95,2,7,7,3,89.49,999.0
373,Australia,95,2,4,7,9,999.0,999.0
374,Australia,95,1,5,1,2,999.0,999.0
375,Australia,95,1,7,1,2,90.92,999.0
376,Australia,95,1,5,3,2,93.17,999.0
377,Australia,95,2,7,1,2,92.29,999.0
378,Australia,95,2,6,1,3,92.45,999.0
379,Australia,95,2,8,1,9,92.45,999.0
380,Australia,95,2,8,1,2,92.15,999.0
381,Australia,95,2,7,1,2,90.4,999.0
382,Australia,95,2,7,2,1,94.39,999.0
383,Australia,95,2,5,2,3,93.17,999.0
384,Australia,95,2,7,1,9,92.46,999.0
385,Australia,95,1,4,1,3,90.79,999.0
386,Australia,95,1,7,1,2,92.88,999.0
387,Australia,95,1,7,3,9,94.82,999.0
388,Australia,95,2,5,1,2,93.34,999.0
389,Australia,95,1,7,1,9,92.65,999.0
390,Australia,95,1,4,1,2,92.85,999.0
391,Australia,95,2,6,7,3,92.29,999.0
392,Australia,95,1,7,7,2,92.65,999.0
393,Australia,95,2,8,1,9,90.92,999.0
394,Australia,95,2,7,1,1,91.11,999.0
395,Australia,95,1,8,1,2,86.3,999.0
396,Australia,95,2,7,5,2,93.61,999.0
397,Australia,95,2,8,2,2,89.4,999.0
398,Australia,95,1,8,7,2,92.65,999.0
399,Australia,95,1,5,1,2,88.57,999.0
400,Australia,95,2,8,7,2,93.99,999.0
401,Australia,95,2,8,7,9,94.97,999.0
402,Australia,95,1,5,7,2,92.65,999.0
403,Australia,95,2,4,9,9,999.0,999.0
